Iteration: 1, Clashes: 0, Phase: Before Update
Iteration: 2, Clashes: 0, Phase: Before Update
Iteration: 2, Clashes: 0, Phase: After Update
Iteration: 3, Clashes: 0, Phase: Before Update
Iteration: 3, Clashes: 0, Phase: After Update
Iteration: 4, Clashes: 0, Phase: Before Update
Iteration: 4, Clashes: 0, Phase: After Update
Iteration: 5, Clashes: 0, Phase: Before Update
Iteration: 5, Clashes: 0, Phase: After Update
Iteration: 6, Clashes: 0, Phase: Before Update
Iteration: 6, Clashes: 0, Phase: After Update
Iteration: 7, Clashes: 0, Phase: Before Update
Iteration: 7, Clashes: 0, Phase: After Update
Iteration: 8, Clashes: 0, Phase: Before Update
Iteration: 8, Clashes: 0, Phase: After Update
Iteration: 9, Clashes: 0, Phase: Before Update
Iteration: 9, Clashes: 0, Phase: After Update
Iteration: 10, Clashes: 0, Phase: Before Update
Iteration: 10, Clashes: 0, Phase: After Update
Iteration: 10, Clashes: 0, Phase: After Update
Iteration: 11, Clashes: 0, Phase: Before Update
Iteration: 11, Clashes: 0, Phase: After Update
Iteration: 12, Clashes: 0, Phase: Before Update
Iteration: 12, Clashes: 0, Phase: After Update
Iteration: 13, Clashes: 0, Phase: Before Update
Iteration: 13, Clashes: 0, Phase: After Update
Iteration: 14, Clashes: 0, Phase: Before Update
Iteration: 14, Clashes: 0, Phase: After Update
Iteration: 15, Clashes: 0, Phase: Before Update
Iteration: 15, Clashes: 0, Phase: After Update
Iteration: 16, Clashes: 0, Phase: Before Update
Iteration: 16, Clashes: 0, Phase: After Update
Iteration: 17, Clashes: 0, Phase: Before Update
Iteration: 17, Clashes: 0, Phase: After Update
Iteration: 18, Clashes: 0, Phase: Before Update
Iteration: 18, Clashes: 0, Phase: After Update
Iteration: 19, Clashes: 0, Phase: Before Update
Iteration: 19, Clashes: 0, Phase: After Update
Iteration: 20, Clashes: 0, Phase: Before Update
Iteration: 20, Clashes: 0, Phase: After Update
Iteration: 20, Clashes: 0, Phase: After Update
Iteration: 21, Clashes: 0, Phase: Before Update
Iteration: 21, Clashes: 0, Phase: After Update
Iteration: 22, Clashes: 0, Phase: Before Update
Iteration: 22, Clashes: 0, Phase: After Update
Iteration: 23, Clashes: 0, Phase: Before Update
Iteration: 23, Clashes: 0, Phase: After Update
Iteration: 24, Clashes: 0, Phase: Before Update
Iteration: 24, Clashes: 0, Phase: After Update
Iteration: 25, Clashes: 0, Phase: Before Update
Iteration: 25, Clashes: 0, Phase: After Update
Iteration: 26, Clashes: 0, Phase: Before Update
Iteration: 26, Clashes: 0, Phase: After Update
Iteration: 27, Clashes: 0, Phase: Before Update
Iteration: 27, Clashes: 0, Phase: After Update
Iteration: 28, Clashes: 0, Phase: Before Update
Iteration: 28, Clashes: 0, Phase: After Update
Iteration: 29, Clashes: 0, Phase: Before Update
Iteration: 29, Clashes: 0, Phase: After Update
Iteration: 30, Clashes: 0, Phase: Before Update
Iteration: 30, Clashes: 0, Phase: After Update
Iteration: 30, Clashes: 0, Phase: After Update
Iteration: 31, Clashes: 0, Phase: Before Update
Iteration: 31, Clashes: 0, Phase: After Update
Iteration: 32, Clashes: 0, Phase: Before Update
Iteration: 32, Clashes: 0, Phase: After Update
Iteration: 33, Clashes: 0, Phase: Before Update
Iteration: 33, Clashes: 0, Phase: After Update
Iteration: 34, Clashes: 0, Phase: Before Update
Iteration: 34, Clashes: 0, Phase: After Update
Iteration: 35, Clashes: 0, Phase: Before Update
Iteration: 35, Clashes: 0, Phase: After Update
Iteration: 36, Clashes: 0, Phase: Before Update
Iteration: 36, Clashes: 0, Phase: After Update
Iteration: 37, Clashes: 0, Phase: Before Update
Iteration: 37, Clashes: 0, Phase: After Update
Iteration: 38, Clashes: 0, Phase: Before Update
Iteration: 38, Clashes: 0, Phase: After Update
Iteration: 39, Clashes: 0, Phase: Before Update
Iteration: 39, Clashes: 0, Phase: After Update
